model,task,evaluation_type,task_type,accuracy
google-bert/bert-base-multilingual-cased,transitive-dat-nom-subj,word-level,mlm,0.36
google-bert/bert-base-multilingual-cased,transitive-dat-nom-subj,sentence-level,mlm,0.14
google-bert/bert-base-multilingual-cased,transitive-dat-nom-obj,word-level,mlm,0.98
google-bert/bert-base-multilingual-cased,transitive-dat-nom-obj,sentence-level,mlm,0.8
google/rembert,intransitive-nom-subj,word-level,mlm,0.59
google/rembert,intransitive-nom-subj,sentence-level,mlm,0.61
google/rembert,transitive-nom-dat-subj,word-level,mlm,0.72
google/rembert,transitive-nom-dat-subj,sentence-level,mlm,0.62
google/rembert,transitive-nom-dat-obj,word-level,mlm,0.2
google/rembert,transitive-nom-dat-obj,sentence-level,mlm,0.3
google/rembert,transitive-erg-nom-subj,word-level,mlm,0.14
google/rembert,transitive-erg-nom-subj,sentence-level,mlm,0.26
google/rembert,transitive-erg-nom-obj,word-level,mlm,0.72
google/rembert,transitive-erg-nom-obj,sentence-level,mlm,0.7
google/rembert,transitive-dat-nom-subj,word-level,mlm,0.28
google/rembert,transitive-dat-nom-subj,sentence-level,mlm,0.24
google/rembert,transitive-dat-nom-obj,word-level,mlm,0.56
google/rembert,transitive-dat-nom-obj,sentence-level,mlm,0.6
FacebookAI/xlm-roberta-base,intransitive-nom-subj,word-level,mlm,0.83
FacebookAI/xlm-roberta-base,intransitive-nom-subj,sentence-level,mlm,0.5
FacebookAI/xlm-roberta-base,transitive-nom-dat-subj,word-level,mlm,0.96
FacebookAI/xlm-roberta-base,transitive-nom-dat-subj,sentence-level,mlm,0.54
FacebookAI/xlm-roberta-base,transitive-nom-dat-obj,word-level,mlm,0.52
FacebookAI/xlm-roberta-base,transitive-nom-dat-obj,sentence-level,mlm,0.18
FacebookAI/xlm-roberta-base,transitive-erg-nom-subj,word-level,mlm,0.26
FacebookAI/xlm-roberta-base,transitive-erg-nom-subj,sentence-level,mlm,0.14
FacebookAI/xlm-roberta-base,transitive-erg-nom-obj,word-level,mlm,0.84
FacebookAI/xlm-roberta-base,transitive-erg-nom-obj,sentence-level,mlm,0.52
FacebookAI/xlm-roberta-base,transitive-dat-nom-subj,word-level,mlm,0.56
FacebookAI/xlm-roberta-base,transitive-dat-nom-subj,sentence-level,mlm,0.24
FacebookAI/xlm-roberta-base,transitive-dat-nom-obj,word-level,mlm,0.96
FacebookAI/xlm-roberta-base,transitive-dat-nom-obj,sentence-level,mlm,0.62
FacebookAI/xlm-roberta-large,intransitive-nom-subj,word-level,mlm,0.86
FacebookAI/xlm-roberta-large,intransitive-nom-subj,sentence-level,mlm,0.56
FacebookAI/xlm-roberta-large,transitive-nom-dat-subj,word-level,mlm,0.94
FacebookAI/xlm-roberta-large,transitive-nom-dat-subj,sentence-level,mlm,0.48
FacebookAI/xlm-roberta-large,transitive-nom-dat-obj,word-level,mlm,0.56
FacebookAI/xlm-roberta-large,transitive-nom-dat-obj,sentence-level,mlm,0.18
FacebookAI/xlm-roberta-large,transitive-erg-nom-subj,word-level,mlm,0.34
FacebookAI/xlm-roberta-large,transitive-erg-nom-subj,sentence-level,mlm,0.18
FacebookAI/xlm-roberta-large,transitive-erg-nom-obj,word-level,mlm,0.94
FacebookAI/xlm-roberta-large,transitive-erg-nom-obj,sentence-level,mlm,0.5
FacebookAI/xlm-roberta-large,transitive-dat-nom-subj,word-level,mlm,0.54
FacebookAI/xlm-roberta-large,transitive-dat-nom-subj,sentence-level,mlm,0.2
FacebookAI/xlm-roberta-large,transitive-dat-nom-obj,word-level,mlm,0.98
FacebookAI/xlm-roberta-large,transitive-dat-nom-obj,sentence-level,mlm,0.62
ai-forever/mGPT-1.3B-georgian,intransitive-nom-subj,sentence-level,ntp,0.97
ai-forever/mGPT-1.3B-georgian,transitive-nom-dat-subj,sentence-level,ntp,1.0
ai-forever/mGPT-1.3B-georgian,transitive-nom-dat-obj,sentence-level,ntp,1.0
ai-forever/mGPT-1.3B-georgian,transitive-erg-nom-subj,sentence-level,ntp,0.84
ai-forever/mGPT-1.3B-georgian,transitive-erg-nom-obj,sentence-level,ntp,0.98
ai-forever/mGPT-1.3B-georgian,transitive-dat-nom-subj,sentence-level,ntp,0.78
ai-forever/mGPT-1.3B-georgian,transitive-dat-nom-obj,sentence-level,ntp,1.0
Kuduxaaa/gpt2-geo,intransitive-nom-subj,sentence-level,ntp,0.69
Kuduxaaa/gpt2-geo,transitive-nom-dat-subj,sentence-level,ntp,0.68
Kuduxaaa/gpt2-geo,transitive-nom-dat-obj,sentence-level,ntp,0.38
Kuduxaaa/gpt2-geo,transitive-erg-nom-subj,sentence-level,ntp,0.16
Kuduxaaa/gpt2-geo,transitive-erg-nom-obj,sentence-level,ntp,0.7
Kuduxaaa/gpt2-geo,transitive-dat-nom-subj,sentence-level,ntp,0.34
Kuduxaaa/gpt2-geo,transitive-dat-nom-obj,sentence-level,ntp,0.66
