,model,repo,form,prob,task
14,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,DAT,0.0028562973955753,ERGATIVE - NOMINATIVE (SUBJECT)
0,HPLT,HPLT/hplt_bert_base_ka,NOM,0.0989716929916517,ERGATIVE - NOMINATIVE (OBJECT)
1,mBERT,google-bert/bert-base-multilingual-cased,NOM,0.0001248672788833,ERGATIVE - NOMINATIVE (OBJECT)
2,RemBERT,google/rembert,NOM,1.1197495923005785e-06,ERGATIVE - NOMINATIVE (OBJECT)
3,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,NOM,0.1097250210947331,ERGATIVE - NOMINATIVE (OBJECT)
4,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,NOM,0.1280391408294265,ERGATIVE - NOMINATIVE (OBJECT)
5,HPLT,HPLT/hplt_bert_base_ka,ERG,2.962444827432935e-06,ERGATIVE - NOMINATIVE (OBJECT)
6,mBERT,google-bert/bert-base-multilingual-cased,ERG,1.6045323750451512e-06,ERGATIVE - NOMINATIVE (OBJECT)
7,RemBERT,google/rembert,ERG,5.380242191021972e-12,ERGATIVE - NOMINATIVE (OBJECT)
8,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,ERG,0.0001298206773384,ERGATIVE - NOMINATIVE (OBJECT)
9,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,ERG,0.0002780268204813,ERGATIVE - NOMINATIVE (OBJECT)
10,HPLT,HPLT/hplt_bert_base_ka,DAT,0.0001100768810976,ERGATIVE - NOMINATIVE (OBJECT)
11,mBERT,google-bert/bert-base-multilingual-cased,DAT,1.4838203426752886e-05,ERGATIVE - NOMINATIVE (OBJECT)
12,RemBERT,google/rembert,DAT,6.152494028539826e-12,ERGATIVE - NOMINATIVE (OBJECT)
13,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,DAT,0.0036482427133218,ERGATIVE - NOMINATIVE (OBJECT)
14,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,DAT,0.0018829252017751,ERGATIVE - NOMINATIVE (OBJECT)
0,HPLT,HPLT/hplt_bert_base_ka,DAT,0.0494043718860389,DATIVE - NOMINATIVE (SUBJECT)
1,mBERT,google-bert/bert-base-multilingual-cased,DAT,0.0424495855929659,DATIVE - NOMINATIVE (SUBJECT)
2,RemBERT,google/rembert,DAT,1.0743193541877871e-06,DATIVE - NOMINATIVE (SUBJECT)
3,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,DAT,0.1079644131404487,DATIVE - NOMINATIVE (SUBJECT)
4,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,DAT,0.09195286922839,DATIVE - NOMINATIVE (SUBJECT)
5,HPLT,HPLT/hplt_bert_base_ka,NOM,0.0102939278237519,DATIVE - NOMINATIVE (SUBJECT)
6,mBERT,google-bert/bert-base-multilingual-cased,NOM,0.0153729709086152,DATIVE - NOMINATIVE (SUBJECT)
7,RemBERT,google/rembert,NOM,1.0106973487588698e-06,DATIVE - NOMINATIVE (SUBJECT)
8,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,NOM,0.0058361066836522,DATIVE - NOMINATIVE (SUBJECT)
9,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,NOM,0.0052887598104909,DATIVE - NOMINATIVE (SUBJECT)
10,HPLT,HPLT/hplt_bert_base_ka,ERG,0.0001456223275113,DATIVE - NOMINATIVE (SUBJECT)
11,mBERT,google-bert/bert-base-multilingual-cased,ERG,0.0002123120171199,DATIVE - NOMINATIVE (SUBJECT)
12,RemBERT,google/rembert,ERG,9.359589101449736e-07,DATIVE - NOMINATIVE (SUBJECT)
13,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,ERG,0.0005595145280868,DATIVE - NOMINATIVE (SUBJECT)
14,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,ERG,0.0001038398250869,DATIVE - NOMINATIVE (SUBJECT)
0,HPLT,HPLT/hplt_bert_base_ka,NOM,0.0379018472158598,DATIVE - NOMINATIVE (OBJECT)
1,mBERT,google-bert/bert-base-multilingual-cased,NOM,0.0446649855565699,DATIVE - NOMINATIVE (OBJECT)
2,RemBERT,google/rembert,NOM,1.163584954648511e-06,DATIVE - NOMINATIVE (OBJECT)
3,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,NOM,0.1994844675385478,DATIVE - NOMINATIVE (OBJECT)
4,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,NOM,0.2031559052671435,DATIVE - NOMINATIVE (OBJECT)
5,HPLT,HPLT/hplt_bert_base_ka,DAT,5.9910639488306913e-05,DATIVE - NOMINATIVE (OBJECT)
6,mBERT,google-bert/bert-base-multilingual-cased,DAT,0.0006044032770311,DATIVE - NOMINATIVE (OBJECT)
7,RemBERT,google/rembert,DAT,4.611846776797209e-08,DATIVE - NOMINATIVE (OBJECT)
8,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,DAT,0.0266759367400001,DATIVE - NOMINATIVE (OBJECT)
9,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,DAT,0.0060453449524635,DATIVE - NOMINATIVE (OBJECT)
10,HPLT,HPLT/hplt_bert_base_ka,ERG,1.3779785093912876e-06,DATIVE - NOMINATIVE (OBJECT)
11,mBERT,google-bert/bert-base-multilingual-cased,ERG,2.7978071352535963e-05,DATIVE - NOMINATIVE (OBJECT)
12,RemBERT,google/rembert,ERG,6.973959426733976e-12,DATIVE - NOMINATIVE (OBJECT)
13,XLM-RoBERTa(bs),FacebookAI/xlm-roberta-base,ERG,0.0015573861046586,DATIVE - NOMINATIVE (OBJECT)
14,XLM-RoBERTa(lg),FacebookAI/xlm-roberta-large,ERG,0.0001672392574821,DATIVE - NOMINATIVE (OBJECT)
